Date;Pays;Ville;Continent;AQI;PM2.5;PM10;CO;NO2;O3;SO2;Himidite;Temperature;Vitesse-vent
01/01/2021;United Arab Emirates;Dubai;Asia;13.77777778;24;2;2;2;20;2;24;24;24
01/01/2021;Afghanistan;Kabul;Africa;10.88888889;16;2;2;2;2;2;24;24;24
01/01/2021;Bangladesh;Dhaka;Asia;11.22222222;24;2;2;2;2;2;24;24;19
01/01/2021;Bahrain;Manama;Asia;11.77777778;24;2;2;2;2;2;24;24;24
01/01/2021;Canada;London;North America;72.88888889;43;357;3;48;48;15;48;48;46
01/01/2021;Canada;Ottawa;North America;49.22222222;66;2;58;34;72;6;72;72;61
01/01/2021;Côte d'Ivoire;Abidjan;Africa;6.666666667;2;2;2;2;2;2;16;16;16
01/01/2021;Germany;Berlin;Europe;193.2777778;44;298;69;292;180;34;306.5;312;204
01/01/2021;Spain;Madrid;Europe;131.1111111;177;161;14;175;68;22;192;192;179
01/01/2021;France;Marseille;Europe;100.1111111;98;123;24;124;27;25;168;168;144
01/01/2021;France;Paris;Europe;229.7222222;204;357;144;292;168;68;306.5;324;204
01/01/2021;Israel;Jerusalem;Asia;63.66666667;72;48;20;119;24;2;120;120;48
01/01/2021;India;Chandigarh;Asia;91.55555556;96;72;96;96;96;96;96;80;96
01/01/2021;India;Ghaziabad;Asia;42.77777778;46;46;39;45;40;45;32;46;46
01/01/2021;India;Hapur;Asia;66.66666667;77;77;38;52;52;73;77;77;77
01/01/2021;India;Jaipur;Asia;67.55555556;66;66;68;68;68;68;68;68;68
01/01/2021;India;Lucknow;Asia;81.22222222;84;72;71;84;84;84;84;84;84
01/01/2021;India;Muzaffarnagar;Asia;45.11111111;48;48;47;48;24;47;48;48;48
01/01/2021;India;New Delhi;Asia;10.66666667;24;2;2;2;2;2;24;24;14
01/01/2021;India;Patna;Asia;148.5555556;159;119;154;159;159;117;150;160;160
01/01/2021;Iraq;Baghdad;Asia;11.55555556;24;2;2;2;2;2;24;24;22
01/01/2021;Italy;Rome;Europe;164.2222222;192;192;72;192;192;72;192;192;182
01/01/2021;Mali;Bamako;Africa;11.66666667;24;2;2;2;2;2;24;24;23
01/01/2021;Mexico;Monterrey;North America;175.5555556;193;251;161;57;91;117;264;264;182
01/01/2021;Pakistan;Lahore;Asia;9.555555556;24;2;2;2;2;2;23;23;6
01/01/2021;Pakistan;Peshawar;Asia;10.11111111;24;2;2;2;2;2;20;20;17
01/01/2021;Saudi Arabia;Dammam;Asia;27.44444444;24;2;2;2;2;2;72;72;69
01/01/2021;Tajikistan;Dushanbe;Asia;11.22222222;24;2;2;2;2;2;24;24;19
02/01/2021;United Arab Emirates;Dubai;Asia;13.66666667;24;2;2;2;19;2;24;24;24
02/01/2021;Afghanistan;Kabul;Africa;11.22222222;20;2;2;2;2;2;24;24;23
02/01/2021;Bangladesh;Dhaka;Asia;11.44444444;24;2;2;2;2;2;24;24;21
02/01/2021;Bahrain;Manama;Asia;11.77777778;24;2;2;2;2;2;24;24;24
02/01/2021;Canada;London;North America;71.77777778;35;357;3;48;48;15;48;48;44
02/01/2021;Canada;Ottawa;North America;49;66;2;58;37;69;8;72;72;57
02/01/2021;Côte d'Ivoire;Abidjan;Africa;9.333333333;2;2;2;2;2;2;24;24;24
02/01/2021;Germany;Berlin;Europe;192.3888889;48;304;81;292;181;4;306.5;311;204
02/01/2021;Spain;Madrid;Europe;134.4444444;176;165;24;188;72;18;192;192;183
02/01/2021;France;Marseille;Europe;90;93;118;24;120;23;24;168;168;72
02/01/2021;France;Paris;Europe;232.8333333;204;357;168;292;168;72;306.5;324;204
02/01/2021;Israel;Jerusalem;Asia;62.77777778;72;48;12;119;24;2;120;120;48
02/01/2021;India;Chandigarh;Asia;90.66666667;96;72;96;96;96;96;88;80;96
02/01/2021;India;Ghaziabad;Asia;46.88888889;48;48;42;48;44;48;48;48;48
02/01/2021;India;Hapur;Asia;86;96;96;57;71;71;95;96;96;96
02/01/2021;India;Jaipur;Asia;71.66666667;71;72;71;72;72;71;72;72;72
02/01/2021;India;Lucknow;Asia;90.22222222;95;71;70;96;96;96;96;96;96
02/01/2021;India;Muzaffarnagar;Asia;45.22222222;48;48;47;48;24;48;48;48;48
02/01/2021;India;New Delhi;Asia;11.44444444;24;2;2;2;2;2;24;24;21
02/01/2021;India;Patna;Asia;152.3333333;161;115;156;166;167;117;154;168;167
02/01/2021;Iraq;Baghdad;Asia;11.77777778;24;2;2;2;2;2;24;24;24
02/01/2021;Italy;Rome;Europe;162.6666667;192;168;72;192;192;72;192;192;192
02/01/2021;Mali;Bamako;Africa;11.77777778;24;2;2;2;2;2;24;24;24
02/01/2021;Mexico;Monterrey;North America;178;204;264;168;52;95;117;264;264;174
02/01/2021;Pakistan;Lahore;Asia;10.88888889;24;2;2;2;2;2;24;24;16
02/01/2021;Pakistan;Peshawar;Asia;11;24;2;2;2;2;2;23;23;19
02/01/2021;Saudi Arabia;Dammam;Asia;27.44444444;24;2;2;2;2;2;72;72;69
02/01/2021;Tajikistan;Dushanbe;Asia;11.11111111;24;2;2;2;2;2;24;24;18
03/01/2021;United Arab Emirates;Dubai;Asia;13.77777778;24;2;2;2;20;2;24;24;24
03/01/2021;Afghanistan;Kabul;Africa;11.77777778;24;2;2;2;2;2;24;24;24
03/01/2021;Bangladesh;Dhaka;Asia;9.777777778;24;2;2;2;2;2;24;24;6
03/01/2021;Bahrain;Manama;Asia;11.77777778;24;2;2;2;2;2;24;24;24
03/01/2021;Canada;London;North America;72.33333333;40;357;3;48;48;15;48;48;44
03/01/2021;Canada;Ottawa;North America;50.88888889;71;2;62;37;72;19;72;72;51
03/01/2021;Côte d'Ivoire;Abidjan;Africa;10.55555556;13;2;2;2;2;2;24;24;24
03/01/2021;Germany;Berlin;Europe;193.9444444;48;294;57;292;185;48;306.5;311;204
03/01/2021;Spain;Madrid;Europe;138.4444444;190;167;30;190;72;33;192;192;180
03/01/2021;France;Marseille;Europe;94.44444444;93;118;24;120;23;22;168;168;114
03/01/2021;France;Paris;Europe;231.2777778;204;357;154;292;168;72;306.5;324;204
03/01/2021;Israel;Jerusalem;Asia;63.88888889;72;48;22;119;24;2;120;120;48
03/01/2021;India;Chandigarh;Asia;90.33333333;96;72;90;96;96;93;94;80;96
03/01/2021;India;Ghaziabad;Asia;44.11111111;46;46;46;46;42;45;34;46;46
03/01/2021;India;Hapur;Asia;66.55555556;77;77;34;53;51;76;77;77;77
03/01/2021;India;Jaipur;Asia;70.66666667;71;71;70;70;71;70;71;72;70
03/01/2021;India;Lucknow;Asia;89.33333333;95;72;69;95;95;95;95;93;95
03/01/2021;India;Muzaffarnagar;Asia;34.55555556;37;37;36;37;13;37;38;38;38
03/01/2021;India;New Delhi;Asia;11.55555556;24;2;2;2;2;2;24;24;22
03/01/2021;India;Patna;Asia;150.1111111;161;119;153;162;162;117;152;162;163
03/01/2021;Iraq;Baghdad;Asia;11.11111111;24;2;2;2;2;2;22;22;22
03/01/2021;Italy;Rome;Europe;162.6666667;192;168;72;192;192;72;192;192;192
03/01/2021;Mali;Bamako;Africa;11.66666667;24;2;2;2;2;2;24;24;23
03/01/2021;Mexico;Monterrey;North America;169.7777778;204;252;168;50;95;117;264;264;114
03/01/2021;Pakistan;Lahore;Asia;11.11111111;24;2;2;2;2;2;23;23;20
03/01/2021;Pakistan;Peshawar;Asia;11.22222222;24;2;2;2;2;2;24;24;19
03/01/2021;Saudi Arabia;Dammam;Asia;26.77777778;24;2;2;2;2;2;69;69;69
03/01/2021;Tajikistan;Dushanbe;Asia;11;24;2;2;2;2;2;24;24;17
04/01/2021;United Arab Emirates;Dubai;Asia;13.88888889;24;2;2;2;21;2;24;24;24
04/01/2021;Afghanistan;Kabul;Africa;11.77777778;24;2;2;2;2;2;24;24;24
04/01/2021;Bangladesh;Dhaka;Asia;9.666666667;24;2;2;2;2;2;24;24;5
04/01/2021;Bahrain;Manama;Asia;11.77777778;24;2;2;2;2;2;24;24;24
04/01/2021;Canada;London;North America;72.66666667;48;357;3;46;46;15;48;48;43
04/01/2021;Canada;Ottawa;North America;46.88888889;65;2;57;41;67;18;72;72;28
04/01/2021;Côte d'Ivoire;Abidjan;Africa;11.77777778;24;2;2;2;2;2;24;24;24
04/01/2021;Germany;Berlin;Europe;194.0555556;48;298;57;292;183;46;306.5;312;204
04/01/2021;Spain;Madrid;Europe;133.1111111;185;163;24;186;70;9;192;192;177
04/01/2021;France;Marseille;Europe;93.44444444;110;130;24;132;37;36;168;168;36
04/01/2021;France;Paris;Europe;228.2777778;204;357;127;292;168;72;306.5;324;204
04/01/2021;Israel;Jerusalem;Asia;63.33333333;72;48;19;118;23;2;120;120;48
04/01/2021;India;Chandigarh;Asia;89.66666667;96;72;80;96;95;96;96;80;96
